ExDate,Dividend
2005-03-18,0.467
2005-06-17,0.488
2005-09-16,0.522
2005-12-16,0.672
2006-03-17,0.519
2006-06-16,0.555
2006-09-15,0.579
2006-12-15,0.793
2007-03-16,0.551
2007-06-15,0.656
2007-09-21,0.719
2007-12-21,0.775
2008-03-20,0.642
2008-06-20,0.669
2008-09-19,0.691
2008-12-19,0.719
2009-03-20,0.561
2009-06-19,0.518
2009-09-18,0.508
2009-12-18,0.59
2010-03-19,0.48
2010-06-18,0.531
2010-09-17,0.602
2010-12-17,0.653
2011-03-18,0.553
2011-06-17,0.628
2011-09-16,0.625
2011-12-16,0.77
2012-03-16,0.614
2012-06-15,0.688
2012-09-21,0.779
2012-12-21,1.022
2013-03-15,0.694
2013-06-21,0.839
2013-09-20,0.838
2013-12-20,0.98
2014-03-21,0.825
2014-06-20,0.937
2014-09-19,0.939
2014-12-19,1.135
2015-03-20,0.931
2015-06-19,1.03
2015-09-18,1.033
2015-12-18,1.212
2016-03-18,1.05
2016-06-17,1.078
2016-09-16,1.082
2016-12-16,1.329
2017-03-17,1.033
2017-06-16,1.183
2017-09-15,1.235
2017-12-15,1.351
2018-03-16,1.097
2018-06-15,1.246
2018-09-21,1.323
2018-12-21,1.435
2019-03-15,1.233
2019-06-21,1.432
2019-09-20,1.384
2019-12-20,1.57
2020-03-20,1.406
2020-06-19,1.366
2020-09-18,1.339
2020-12-18,1.58
2021-03-19,1.278
2021-06-18,1.376
2021-09-17,1.428
2021-12-17,1.633
2022-03-18,1.366
2022-06-17,1.577
2022-09-16,1.596
2022-12-16,1.781
2023-03-17,1.506
2023-06-16,1.638
2023-09-15,1.583
2023-12-15,1.906
2024-03-15,1.595
2024-06-21,1.759
2024-09-20,1.746
2024-12-20,1.966
2025-03-21,1.696
2025-06-20,1.761
2025-09-19,1.831
2025-12-19,1.993
2026-03-20,1.797
2026-06-18,1.904
